Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
2,3,2,13.0,2,14,65,116.04,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
2,3,2,13.0,2,14,65,116.04,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
0,3,3,10.0,1,5,22,522.39,Greenland,Greenland-1.0,Greenland-975.0
0,3,3,10.0,1,5,22,522.39,Greenland,Greenland-1.0,Greenland-975.0
0,3,3,10.0,1,5,22,522.39,Greenland,Greenland-1.0,Greenland-975.0
0,3,3,10.0,1,5,22,522.39,Greenland,Greenland-1.0,Greenland-975.0
1,3,3,10.0,1,5,26,275.0,Greenland,Greenland-1.0,Greenland-975.0
1,3,3,10.0,1,5,26,275.0,Greenland,Greenland-1.0,Greenland-975.0
1,3,3,10.0,1,5,26,275.0,Greenland,Greenland-1.0,Greenland-975.0
1,3,3,10.0,1,5,26,275.0,Greenland,Greenland-1.0,Greenland-975.0
2,3,3,10.0,1,5,22,257.26,Greenland,Greenland-1.0,Greenland-975.0
2,3,3,10.0,1,5,22,257.26,Greenland,Greenland-1.0,Greenland-975.0
2,3,3,10.0,1,5,22,257.26,Greenland,Greenland-1.0,Greenland-975.0
2,3,3,10.0,1,5,22,257.26,Greenland,Greenland-1.0,Greenland-975.0
0,4,1,11.0,1,13,203,68.34,Greenland,Greenland-1.0,Greenland-975.0
0,4,1,15.0,2,13,203,68.34,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,4,1,11.0,1,13,203,68.34,Greenland,Greenland-1.0,Greenland-975.0
0,4,1,11.0,1,13,203,68.34,Greenland,Greenland-1.0,Greenland-975.0
1,4,1,11.0,1,13,199,68.24,Greenland,Greenland-1.0,Greenland-975.0
1,4,1,15.0,2,13,199,68.24,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,4,1,15.0,2,13,199,68.24,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,4,1,11.0,1,13,199,68.24,Greenland,Greenland-1.0,Greenland-975.0
1,4,1,11.0,1,13,199,68.24,Greenland,Greenland-1.0,Greenland-975.0
2,4,1,11.0,1,13,223,72.53,Greenland,Greenland-1.0,Greenland-975.0
2,4,1,15.0,2,13,223,72.53,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
3,4,1,11.0,1,13,218,71.66,Greenland,Greenland-1.0,Greenland-975.0
3,4,1,11.0,1,13,218,71.66,Greenland,Greenland-1.0,Greenland-975.0
3,4,1,11.0,1,13,218,71.66,Greenland,Greenland-1.0,Greenland-975.0
3,4,1,11.0,1,13,218,71.66,Greenland,Greenland-1.0,Greenland-975.0
4,4,1,11.0,1,13,216,81.06,Greenland,Greenland-1.0,Greenland-975.0
4,4,1,15.0,2,13,216,81.06,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
4,4,1,11.0,1,13,216,81.06,Greenland,Greenland-1.0,Greenland-975.0
0,4,2,13.0,2,15,212,79.05,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
0,4,2,13.0,2,15,212,79.05,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
0,4,2,13.0,2,15,212,79.05,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
0,4,2,13.0,2,15,212,79.05,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
0,4,2,13.0,2,15,212,79.05,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
1,4,2,13.0,2,15,182,68.65,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
1,4,2,13.0,2,15,182,68.65,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,4,2,13.0,2,15,182,68.65,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,4,2,7.0,1,15,182,68.65,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
2,4,2,13.0,2,15,217,64.56,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
2,4,2,13.0,2,15,217,64.56,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
