Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
3,3,1,48.0,3,28,182,142.6,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
3,3,1,47.0,3,28,182,142.6,Central Asia; East Asia; Russland and Caucasus,Central Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; East Asia; Russland and Caucasus-350.0; 450.0; 0.0
3,3,1,48.0,3,28,182,142.6,Central Asia; Southeast Asia; Russland and Caucasus,Central Asia; Southeast Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Southeast Asia; Russland and Caucasus-350.0; 0.0; 0.0
4,3,1,47.0,3,29,329,175.36,Central Asia; East Asia; Russland and Caucasus,Central Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; East Asia; Russland and Caucasus-350.0; 450.0; 0.0
4,3,1,47.0,3,29,329,175.36,Central Asia; Near and Middle East; Russland and Caucasus,Central Asia; Near and Middle East; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Near and Middle East; Russland and Caucasus-350.0; 0.0; 0.0
4,3,1,47.0,3,29,329,175.36,Near and Middle East; East Asia; Russland and Caucasus,Near and Middle East; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Near and Middle East; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
4,3,1,47.0,3,29,329,175.36,Near and Middle East; East Asia; Russland and Caucasus,Near and Middle East; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Near and Middle East; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
4,3,1,33.0,2,29,329,175.36,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
0,3,2,19.0,2,33,163,85.0,Argentina; Uruguay,Argentina; Uruguay-1.0; 1.0,Argentina; Uruguay-400.0; 400.0
0,3,2,20.0,2,33,163,85.0,Paraguay; Uruguay,Paraguay; Uruguay-1.0; 1.0,Paraguay; Uruguay-400.0; 400.0
0,3,2,19.0,2,33,163,85.0,Indonesia; Thailand South,Indonesia; Thailand South-2.0; 1.0,Indonesia; Thailand South-400.0; 375.0
