Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
4,2,1,39.0,3,42,188,158.94,Near and Middle East; East Asia; Russland and Caucasus,Near and Middle East; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Near and Middle East; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
4,2,1,37.0,3,42,188,158.94,South Asia; Near and Middle East; East Asia,South Asia; Near and Middle East; East Asia-1.0; 1.0; 1.0,South Asia; Near and Middle East; East Asia-0.0; 0.0; 450.0
5,2,1,15.0,2,42,218,143.65,Southeast Asia; East Asia,Southeast Asia; East Asia-1.0; 1.0,Southeast Asia; East Asia-0.0; 450.0
5,2,1,17.0,2,42,218,143.65,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
6,2,1,16.0,2,42,231,154.06,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
6,2,1,16.0,2,42,231,154.06,Indonesia; Indonesian islands west of Lombok,Indonesia; Indonesian islands west of Lombok-2.0; 1.0,Indonesia; Indonesian islands west of Lombok-400.0; 0.0
6,2,1,17.0,2,42,231,154.06,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
6,2,1,17.0,2,42,231,154.06,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
7,2,1,-7.0,1,41,212,133.45,New Zealand,New Zealand-2.0,New Zealand-490.0
7,2,1,-9.0,1,41,212,133.45,Southern Europe,Southern Europe-1.0,Southern Europe-350.0
7,2,1,-7.0,1,41,212,133.45,New Zealand,New Zealand-2.0,New Zealand-490.0
8,2,1,41.0,3,42,255,154.04,Central Europe; North Europe; British Islands,Central Europe; North Europe; British Islands-1.0; 1.0; 1.0,Central Europe; North Europe; British Islands-0.0; 0.0; 420.0
8,2,1,41.0,3,42,255,154.04,Central Europe; North Europe; British Islands,Central Europe; North Europe; British Islands-1.0; 1.0; 1.0,Central Europe; North Europe; British Islands-0.0; 0.0; 420.0
8,2,1,16.0,2,42,255,154.04,Brazil; Ecuador,Brazil; Ecuador-1.0; 1.0,Brazil; Ecuador-625.0; 350.0
